County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Darlington County, South Carolina,62905,60815,114,45,31,37141,2674,96.68,0.18
Dillon County, South Carolina,28292,27120,113,45,33,36429,3245,95.86,0.4
Edgefield County, South Carolina,25657,24634,76,45,37,52491,4943,96.01,0.3
Fairfield County, South Carolina,20948,20234,61,45,39,43861,5846,96.59,0.29
Georgetown County, South Carolina,63404,61323,83,45,43,52488,3472,96.72,0.13
Hampton County, South Carolina,18561,18127,36,45,49,38178,2328,97.66,0.19
Horry County, South Carolina,351029,329466,950,45,51,51570,1176,93.86,0.27
Kershaw County, South Carolina,65403,61718,158,45,55,53980,1870,94.37,0.24
Lancaster County, South Carolina,96016,90236,252,45,57,65421,3623,93.98,0.26
Laurens County, South Carolina,67539,64060,156,45,59,44374,1915,94.85,0.23
Lexington County, South Carolina,293991,274671,976,45,63,62740,1312,93.43,0.33
McCormick County, South Carolina,9526,9248,17,45,65,47402,7154,97.08,0.18
Marlboro County, South Carolina,26667,25626,79,45,69,31528,3889,96.1,0.3
Newberry County, South Carolina,37719,35896,95,45,71,46038,2700,95.17,0.25
Orangeburg County, South Carolina,84223,81738,169,45,75,36802,2453,97.05,0.2
Pickens County, South Carolina,131404,123668,250,45,77,51032,1710,94.11,0.19
Saluda County, South Carolina,18862,17459,49,45,81,43410,3187,92.56,0.26
Spartanburg County, South Carolina,327997,308455,811,45,83,53757,1267,94.04,0.25
Union County, South Carolina,27244,26198,89,45,87,41117,2718,96.16,0.33
Williamsburg County, South Carolina,31026,30393,47,45,89,35681,3856,97.96,0.15
York County, South Carolina,282090,263330,996,45,91,68555,2412,93.35,0.35
Greenville County, South Carolina,525534,488299,1623,45,45,62422,1399,92.91,0.31
Aurora County, South Dakota,2747,2650,3,46,3,65132,5781,96.47,0.11
Bon Homme County, South Dakota,7003,6847,14,46,9,50195,5449,97.77,0.2
Brule County, South Dakota,5247,4966,8,46,15,57181,5989,94.64,0.15
Hanson County, South Dakota,3461,3365,8,46,61,63750,8303,97.23,0.23
Hutchinson County, South Dakota,7427,7269,15,46,67,61290,3110,97.87,0.2
Jerauld County, South Dakota,1663,1613,2,46,73,49265,6276,96.99,0.12
Lawrence County, South Dakota,25768,24412,40,46,81,52146,3000,94.74,0.16
McCook County, South Dakota,5682,5471,4,46,87,66208,4261,96.29,0.07
Meade County, South Dakota,29852,27698,100,46,93,62275,5691,92.78,0.33
Minnehaha County, South Dakota,197214,185552,589,46,99,63699,1644,94.09,0.3
Pennington County, South Dakota,109222,100631,486,46,103,58278,2401,92.13,0.44
Sanborn County, South Dakota,2330,2233,3,46,111,55398,6399,95.84,0.13
Sully County, South Dakota,1446,1380,4,46,119,60508,3061,95.44,0.28
Turner County, South Dakota,8673,8330,21,46,125,63062,2302,96.05,0.24
Yankton County, South Dakota,23310,22228,47,46,135,61878,4278,95.36,0.2
Beadle County, South Dakota,19149,17825,28,46,5,53461,3114,93.09,0.15
Bennett County, South Dakota,3381,3122,24,46,7,41887,3686,92.34,0.71
Brookings County, South Dakota,34375,32918,53,46,11,57471,4317,95.76,0.15
Brown County, South Dakota,38301,36527,59,46,13,61816,4034,95.37,0.15
Buffalo County, South Dakota,1948,1872,7,46,17,35000,6507,96.1,0.36
Butte County, South Dakota,10243,9692,30,46,19,49353,3222,94.62,0.29
Campbell County, South Dakota,1377,1326,4,46,21,54228,6183,96.3,0.29
Charles Mix County, South Dakota,9373,8961,29,46,23,52348,4053,95.6,0.31
Clark County, South Dakota,3837,3727,6,46,25,50709,3170,97.13,0.16
Clay County, South Dakota,14967,14167,17,46,27,51447,7268,94.65,0.11
Codington County, South Dakota,28325,27347,49,46,29,57885,5177,96.55,0.17
Corson County, South Dakota,3902,3724,2,46,31,36705,3203,95.44,0.05
Custer County, South Dakota,8318,7900,23,46,33,64556,7636,94.97,0.28
Davison County, South Dakota,19956,19151,34,46,35,48267,3234,95.97,0.17
Day County, South Dakota,5449,5217,15,46,37,46753,3067,95.74,0.28
Deuel County, South Dakota,4295,4189,8,46,39,67396,5643,97.53,0.19
Dewey County, South Dakota,5239,5020,9,46,41,45859,3362,95.82,0.17
Douglas County, South Dakota,2835,2727,10,46,43,61793,7076,96.19,0.35
Edmunds County, South Dakota,3986,3901,13,46,45,64896,11005,97.87,0.33
Fall River County, South Dakota,6973,6560,15,46,47,51383,10729,94.08,0.22
Faulk County, South Dakota,2125,2075,9,46,49,49423,9310,97.65,0.42
Grant County, South Dakota,7556,7224,8,46,51,65327,5744,95.61,0.11
Gregory County, South Dakota,3994,3822,8,46,53,44706,5913,95.69,0.2
Haakon County, South Dakota,1872,1790,9,46,55,40673,6255,95.62,0.48
Hamlin County, South Dakota,6164,5988,3,46,57,67626,3416,97.14,0.05
Hand County, South Dakota,3145,3067,10,46,59,58333,6746,97.52,0.32
Harding County, South Dakota,1311,1259,2,46,63,61111,5356,96.03,0.15
Hughes County, South Dakota,17765,16769,40,46,65,69575,5253,94.39,0.23
Hyde County, South Dakota,1262,1212,8,46,69,59844,7650,96.04,0.63
Jackson County, South Dakota,2806,2627,14,46,71,24549,6842,93.62,0.5
Jones County, South Dakota,917,832,3,46,75,46688,3593,90.73,0.33
Kingsbury County, South Dakota,5187,5053,7,46,77,61316,4441,97.42,0.13
Lake County, South Dakota,11059,10635,13,46,79,63165,5600,96.17,0.12
Lincoln County, South Dakota,65161,62246,109,46,83,84260,3003,95.53,0.17
Lyman County, South Dakota,3718,3575,11,46,85,54484,4274,96.15,0.3
McPherson County, South Dakota,2411,2343,9,46,89,51379,9364,97.18,0.37
Marshall County, South Dakota,4306,4060,13,46,91,68056,8014,94.29,0.3
Mellette County, South Dakota,1918,1781,9,46,95,33882,7451,92.86,0.47
Miner County, South Dakota,2298,2223,10,46,97,53135,4269,96.74,0.44
Moody County, South Dakota,6336,5923,11,46,101,61894,5797,93.48,0.17
Oglala Lakota County, South Dakota,13672,13376,23,46,102,31423,4847,97.83,0.17
Perkins County, South Dakota,2835,2745,7,46,105,61815,5586,96.83,0.25
Potter County, South Dakota,2472,2420,9,46,107,57120,7934,97.9,0.36
Roberts County, South Dakota,10280,9755,17,46,109,50877,2668,94.89,0.17
Spink County, South Dakota,6361,6180,9,46,115,62125,8790,97.15,0.14
Stanley County, South Dakota,2980,2800,9,46,117,71602,10935,93.96,0.3
Todd County, South Dakota,9319,9049,11,46,121,24102,3254,97.1,0.12
Tripp County, South Dakota,5624,5348,17,46,123,54054,7320,95.09,0.3
Union County, South Dakota,16811,15969,28,46,127,74006,7099,94.99,0.17
Walworth County, South Dakota,5315,4998,11,46,129,51481,7208,94.04,0.21
Ziebach County, South Dakota,2413,2340,2,46,137,36615,5258,96.97,0.08
Meigs County, Tennessee,12758,12222,20,47,121,50733,4588,95.8,0.16
Montgomery County, Tennessee,220069,197590,1778,47,125,60878,1557,89.79,0.81
Moore County, Tennessee,6461,6212,24,47,127,63762,3803,96.15,0.37
Obion County, Tennessee,30787,29215,68,47,131,39985,2217,94.89,0.22
Overton County, Tennessee,22511,21663,53,47,133,36478,2428,96.23,0.24
Pickett County, Tennessee,5001,4902,18,47,137,43125,6804,98.02,0.36
Polk County, Tennessee,17544,16719,46,47,139,45326,2869,95.3,0.26
Rhea County, Tennessee,32870,31106,37,47,143,46096,2734,94.63,0.11
Roane County, Tennessee,53404,50735,119,47,145,55578,4114,95,0.22
Rutherford County, Tennessee,341486,314490,1226,47,149,68718,1870,92.09,0.36
Scott County, Tennessee,21850,21230,31,47,151,37135,3603,97.16,0.14
Sequatchie County, Tennessee,15826,15129,25,47,153,44217,6457,95.6,0.16
Shelby County, Tennessee,929744,884025,2535,47,157,52092,736,95.08,0.27
Smith County, Tennessee,19904,18928,60,47,159,48611,2085,95.1,0.3
Sullivan County, Tennessee,158163,150959,253,47,163,47438,1841,95.45,0.16
Sumner County, Tennessee,196281,182922,555,47,165,69878,1839,93.19,0.28
Trousdale County, Tennessee,11615,11067,52,47,169,56981,4906,95.28,0.45
Unicoi County, Tennessee,17928,17015,33,47,171,44526,3011,94.91,0.18
Van Buren County, Tennessee,6168,5940,22,47,175,47576,10303,96.3,0.36
Warren County, Tennessee,40953,38458,123,47,177,42668,2310,93.91,0.3
Wayne County, Tennessee,16232,15767,24,47,181,42206,2878,97.14,0.15
Weakley County, Tennessee,32902,31351,75,47,183,41488,2731,95.29,0.23
Williamson County, Tennessee,247726,232292,665,47,187,111196,3044,93.77,0.27
Wilson County, Tennessee,147737,138551,372,47,189,78962,1907,93.78,0.25
Bedford County, Tennessee,50237,46970,131,47,3,52973,3039,93.5,0.26
Blount County, Tennessee,135280,127218,318,47,9,60301,1964,94.04,0.24
Cannon County, Tennessee,14506,13613,29,47,15,52518,5657,93.84,0.2
Cheatham County, Tennessee,41072,38739,92,47,21,63988,3076,94.32,0.22
Clay County, Tennessee,7581,7405,18,47,27,32064,6110,97.68,0.24
Crockett County, Tennessee,13911,13200,14,47,33,47581,6409,94.89,0.1
Decatur County, Tennessee,11435,11044,29,47,39,40389,3659,96.58,0.25
Jackson County, Tennessee,11617,11043,29,47,87,35880,5111,95.06,0.25
Knox County, Tennessee,478971,447827,1552,47,93,59250,1011,93.5,0.32
Lawrence County, Tennessee,44159,42168,55,47,99,43734,1949,95.49,0.12
Loudon County, Tennessee,54886,51548,87,47,105,61664,2978,93.92,0.16
Macon County, Tennessee,25216,23976,34,47,111,38080,4102,95.08,0.13
Marshall County, Tennessee,34318,31984,82,47,117,55299,4747,93.2,0.24
Monroe County, Tennessee,46250,43692,86,47,123,45576,4265,94.47,0.19
Morgan County, Tennessee,21035,20376,31,47,129,41701,2451,96.87,0.15
Perry County, Tennessee,8366,8074,24,47,135,48716,5826,96.51,0.29
Putnam County, Tennessee,79854,75273,153,47,141,45160,2056,94.26,0.19
Robertson County, Tennessee,72803,68115,123,47,147,66088,2527,93.56,0.17
Sevier County, Tennessee,98380,92356,218,47,155,51734,2485,93.88,0.22
Stewart County, Tennessee,13657,12914,20,47,161,49537,6595,94.56,0.15
Tipton County, Tennessee,60970,57583,168,47,167,62474,2719,94.44,0.28
Union County, Tennessee,19802,19092,51,47,173,45143,4864,96.41,0.26
Washington County, Tennessee,133001,124854,365,47,179,48923,2406,93.87,0.27
White County, Tennessee,27351,25897,51,47,185,44282,4517,94.68,0.19
Anderson County, Tennessee,77123,72296,243,47,1,52338,2045,93.74,0.32
Benton County, Tennessee,15864,15100,21,47,5,39019,4204,95.18,0.13
Bledsoe County, Tennessee,14913,14343,16,47,7,49382,7985,96.18,0.11
Bradley County, Tennessee,108620,100456,329,47,11,51872,2414,92.48,0.3
Campbell County, Tennessee,39272,37823,71,47,13,41769,2949,96.31,0.18
Carroll County, Tennessee,28440,27021,66,47,17,42877,2307,95.01,0.23
Carter County, Tennessee,56356,53774,72,47,19,40820,2170,95.42,0.13
Chester County, Tennessee,17341,16504,48,47,23,53336,5182,95.17,0.28
Claiborne County, Tennessee,32043,30935,33,47,25,37954,2137,96.54,0.1
Cocke County, Tennessee,35999,34252,69,47,29,38530,3946,95.15,0.19
Coffee County, Tennessee,57889,54258,134,47,31,51030,3310,93.73,0.23
Cumberland County, Tennessee,61145,58525,70,47,35,49423,2610,95.72,0.11
Davidson County, Tennessee,715884,662109,2572,47,37,62515,811,92.49,0.36
DeKalb County, Tennessee,20080,19001,27,47,41,44389,4666,94.63,0.13
Dickson County, Tennessee,54315,51311,103,47,43,57804,2013,94.47,0.19
Dyer County, Tennessee,36801,35001,73,47,45,45042,3265,95.11,0.2
Fayette County, Tennessee,41990,40085,77,47,47,63618,4787,95.46,0.18
Fentress County, Tennessee,18489,17832,9,47,49,40203,4134,96.45,0.05
Franklin County, Tennessee,42774,40653,83,47,51,47777,2281,95.04,0.19
Gibson County, Tennessee,50429,48336,79,47,53,45557,3062,95.85,0.16
Giles County, Tennessee,30346,28691,61,47,55,49815,3210,94.55,0.2
Grainger County, Tennessee,23527,22581,39,47,57,44703,3948,95.98,0.17
Greene County, Tennessee,70152,66809,128,47,59,43150,1939,95.23,0.18
Grundy County, Tennessee,13529,12871,36,47,61,43116,4083,95.14,0.27
Hamblen County, Tennessee,64499,59861,189,47,63,43151,3763,92.81,0.29
Hamilton County, Tennessee,366207,342028,1049,47,65,56606,1426,93.4,0.29
Hancock County, Tennessee,6662,6481,15,47,67,28234,6061,97.28,0.23
Hardeman County, Tennessee,25462,24772,48,47,69,39636,2371,97.29,0.19
Hardin County, Tennessee,26831,25771,52,47,71,42285,3085,96.05,0.19
Hawkins County, Tennessee,56721,54606,66,47,73,45318,2577,96.27,0.12
Haywood County, Tennessee,17864,17345,33,47,75,38994,4087,97.09,0.18
Henderson County, Tennessee,27842,26548,58,47,77,44534,3586,95.35,0.21
Henry County, Tennessee,32199,30600,78,47,79,41037,2242,95.03,0.24
Hickman County, Tennessee,24925,23776,36,47,81,47457,3729,95.39,0.14
Houston County, Tennessee,8283,7928,24,47,83,43521,4031,95.71,0.29
Humphreys County, Tennessee,18990,18061,41,47,85,48411,2172,95.11,0.22
Jefferson County, Tennessee,54683,52069,58,47,89,51899,2603,95.22,0.11
Johnson County, Tennessee,17948,17300,36,47,91,38090,3518,96.39,0.2
Lake County, Tennessee,7005,6777,8,47,95,34230,19077,96.75,0.11
Lauderdale County, Tennessee,25143,24098,49,47,97,41905,2003,95.84,0.19
Lewis County, Tennessee,12582,12052,33,47,101,36977,4436,95.79,0.26
Lincoln County, Tennessee,35319,33230,98,47,103,53923,2945,94.09,0.28
McMinn County, Tennessee,53276,49983,146,47,107,46872,3205,93.82,0.27
McNairy County, Tennessee,25866,24854,46,47,109,40327,2877,96.09,0.18
Madison County, Tennessee,98823,94342,198,47,113,48396,1963,95.47,0.2
Marion County, Tennessee,28837,27439,56,47,115,50059,2829,95.15,0.19
Maury County, Tennessee,100974,94005,199,47,119,60567,2812,93.1,0.2
Anderson County, Texas,57922,54327,129,48,1,45847,2728,93.79,0.22
Angelina County, Texas,86395,78097,220,48,5,49684,2450,90.4,0.25
Aransas County, Texas,23830,20580,71,48,7,47924,8481,86.36,0.3
Armstrong County, Texas,1848,1725,6,48,11,69386,5604,93.34,0.32
Atascosa County, Texas,48981,36893,193,48,13,59251,2620,75.32,0.39
Bailey County, Texas,6904,5553,21,48,17,55038,35559,80.43,0.3
Bandera County, Texas,20851,18339,103,48,19,60361,4410,87.95,0.49
Baylor County, Texas,3465,3227,8,48,23,40946,6391,93.13,0.23
Bee County, Texas,31047,25339,61,48,25,45287,5775,81.61,0.2
Bexar County, Texas,2009324,1484783,17265,48,29,58288,607,73.89,0.86
Blanco County, Texas,11374,10210,19,48,31,70397,6156,89.77,0.17
Bosque County, Texas,18235,16312,48,48,35,57337,3178,89.45,0.26
Brazoria County, Texas,372031,316898,1969,48,39,83325,3025,85.18,0.53
Brazos County, Texas,233849,204686,943,48,41,50289,1413,87.53,0.4
Briscoe County, Texas,1435,1341,8,48,45,37875,6136,93.45,0.56
Brooks County, Texas,7076,3761,30,48,47,25058,4795,53.15,0.42
Burleson County, Texas,17642,15573,107,48,51,60058,8744,88.27,0.61
Burnet County, Texas,49130,43572,165,48,53,59919,2935,88.69,0.34
Calhoun County, Texas,20106,15452,52,48,57,57170,6165,76.85,0.26
Callahan County, Texas,13708,12779,34,48,59,51955,4452,93.22,0.25
Camp County, Texas,12464,11185,51,48,63,49539,6103,89.74,0.41
Carson County, Texas,5807,5310,13,48,65,74246,3692,91.44,0.22
Castro County, Texas,7371,5400,28,48,69,49900,4131,73.26,0.38
Chambers County, Texas,46571,41158,174,48,71,95989,11681,88.38,0.37
Childress County, Texas,6664,6048,24,48,75,43564,6365,90.76,0.36
Clay County, Texas,10218,9554,43,48,77,63125,5946,93.5,0.42
Coke County, Texas,3285,2939,12,48,81,45072,8128,89.47,0.37
Coleman County, Texas,7684,7164,30,48,83,46948,4117,93.23,0.39
Collingsworth County, Texas,2652,2365,32,48,87,41202,5956,89.18,1.21
Colorado County, Texas,20557,18246,45,48,89,52663,3733,88.76,0.22
Comal County, Texas,161501,135471,977,48,91,80781,2651,83.88,0.6
Comanche County, Texas,13594,11921,49,48,93,54889,3908,87.69,0.36
Concho County, Texas,3303,2984,13,48,95,53333,11731,90.34,0.39
Cooke County, Texas,41668,36936,119,48,97,62733,4416,88.64,0.29
Coryell County, Texas,83093,73013,759,48,99,54712,2277,87.87,0.91
Cottle County, Texas,1380,1251,17,48,101,40250,11139,90.65,1.23
Crane County, Texas,4675,3537,22,48,103,54596,17024,75.66,0.47
Crockett County, Texas,3098,2392,14,48,105,46695,9216,77.21,0.45
Crosby County, Texas,5133,4344,49,48,107,42470,4955,84.63,0.95
Culberson County, Texas,2188,1597,18,48,109,34853,11780,72.99,0.82
Dallam County, Texas,7115,5423,20,48,111,58956,4219,76.22,0.28
Dallas County, Texas,2613539,2192419,12881,48,113,61870,471,83.89,0.49
Dawson County, Texas,12456,10488,42,48,115,40469,9069,84.2,0.34
Deaf Smith County, Texas,18583,13993,40,48,117,49790,4707,75.3,0.22
Delta County, Texas,5230,4865,18,48,119,49868,10983,93.02,0.34
Denton County, Texas,906422,790322,5351,48,121,90354,1531,87.19,0.59
DeWitt County, Texas,19824,17681,70,48,123,53815,6660,89.19,0.35
Dickens County, Texas,1770,1572,13,48,125,41141,7958,88.81,0.73
Dimmit County, Texas,8615,5610,28,48,127,25996,12247,65.12,0.33
Donley County, Texas,3258,2982,19,48,129,51875,7292,91.53,0.58
Duval County, Texas,9831,6481,18,48,131,45349,7591,65.92,0.18
Ector County, Texas,165171,126571,573,48,135,63096,2438,76.63,0.35
Edwards County, Texas,1422,1099,19,48,137,40643,7115,77.29,1.34
El Paso County, Texas,865657,555390,5850,48,141,48292,1043,64.16,0.68
Erath County, Texas,42545,38356,192,48,143,55383,4591,90.15,0.45
Fannin County, Texas,35662,33049,76,48,147,57898,3258,92.67,0.21
Fayette County, Texas,24435,21922,69,48,149,62872,4911,89.72,0.28
Floyd County, Texas,5402,3949,28,48,153,52714,2891,73.1,0.52
Foard County, Texas,1095,1030,6,48,155,39306,11396,94.06,0.55
Franklin County, Texas,10359,9396,41,48,159,59632,3774,90.7,0.4
Freestone County, Texas,19435,18238,61,48,161,52232,6074,93.84,0.31
Gaines County, Texas,21598,17834,57,48,165,62994,5676,82.57,0.26
Garza County, Texas,5816,5360,30,48,169,58938,19236,92.16,0.52
Gillespie County, Texas,26725,23364,73,48,171,61445,4525,87.42,0.27
Goliad County, Texas,7012,5987,36,48,175,50000,14640,85.38,0.51
Gonzales County, Texas,19653,16388,67,48,177,58210,5355,83.39,0.34
Grayson County, Texas,135543,121410,528,48,181,58296,2001,89.57,0.39
Gregg County, Texas,124239,112514,486,48,183,52027,1820,90.56,0.39
Guadalupe County, Texas,172706,139176,1371,48,187,75774,1690,80.59,0.79
Hale County, Texas,32522,26268,138,48,189,47500,3708,80.77,0.42
Hamilton County, Texas,8222,7600,24,48,193,46893,7408,92.43,0.29
Hansford County, Texas,5285,4581,18,48,195,46507,12855,86.68,0.34
Hardin County, Texas,56231,52815,86,48,199,61221,4196,93.93,0.15
Harris County, Texas,4731145,3930990,25447,48,201,63022,607,83.09,0.54
Hartley County, Texas,5382,4840,7,48,205,53722,7378,89.93,0.13
Haskell County, Texas,5416,4950,7,48,207,48955,5682,91.4,0.13
Hemphill County, Texas,3382,2916,21,48,211,59605,17072,86.22,0.62
Henderson County, Texas,82150,75317,232,48,213,49469,2488,91.68,0.28
Hill County, Texas,35874,32158,123,48,217,55615,2801,89.64,0.34
Hockley County, Texas,21537,17903,60,48,219,47010,2775,83.13,0.28
Hopkins County, Texas,36787,33621,127,48,223,54600,3530,91.39,0.35
Houston County, Texas,22066,20843,49,48,225,40838,2097,94.46,0.22
Hudspeth County, Texas,3202,2561,22,48,229,31505,6170,79.98,0.69
Hunt County, Texas,99956,88424,344,48,231,57467,2057,88.46,0.34
Irion County, Texas,1513,1350,14,48,235,53778,10649,89.23,0.93
Jack County, Texas,8472,7869,37,48,237,54087,5771,92.88,0.44
Jasper County, Texas,32980,31407,48,48,241,42756,4174,95.23,0.15
Jeff Davis County, Texas,1996,1664,24,48,243,-666666666,-222222222,83.37,1.2
Jim Hogg County, Texas,4838,3064,8,48,247,35736,5914,63.33,0.17
Jim Wells County, Texas,38891,27863,99,48,249,45857,5537,71.64,0.25
Jones County, Texas,19663,18141,57,48,253,52471,6265,92.26,0.29
Karnes County, Texas,14710,12091,56,48,255,52896,6740,82.2,0.38
Kaufman County, Texas,145310,126404,676,48,257,72179,2856,86.99,0.47
Kendall County, Texas,44279,38018,194,48,259,98692,9423,85.86,0.44
Kenedy County, Texas,350,223,8,48,261,40083,14958,63.71,2.29
Kent County, Texas,753,716,9,48,263,61706,7387,95.09,1.2
Kerr County, Texas,52598,45281,179,48,265,57196,3400,86.09,0.34
Kimble County, Texas,4286,3937,16,48,267,46602,7765,91.86,0.37
King County, Texas,265,253,8,48,269,39286,12410,95.47,3.02
Kinney County, Texas,3129,2379,21,48,271,39972,26645,76.03,0.67
Kleberg County, Texas,31040,23171,126,48,273,47301,4874,74.65,0.41
Knox County, Texas,3353,3048,5,48,275,50719,6057,90.9,0.15
Lamar County, Texas,50088,46207,156,48,277,48036,2391,92.25,0.31
Lamb County, Texas,13045,10001,52,48,279,44935,3590,76.67,0.4
Lampasas County, Texas,21627,18992,153,48,281,64808,6056,87.82,0.71
La Salle County, Texas,6664,4378,42,48,283,47162,10662,65.7,0.63
Lee County, Texas,17478,15247,94,48,287,56696,5259,87.24,0.54
Leon County, Texas,15719,14557,57,48,289,43392,6786,92.61,0.36
Liberty County, Texas,91628,81331,268,48,291,50917,2736,88.76,0.29
Limestone County, Texas,22146,20425,63,48,293,45781,2926,92.23,0.28
Lipscomb County, Texas,3059,2574,16,48,295,63182,7041,84.15,0.52
Live Oak County, Texas,11335,9471,42,48,297,50212,5642,83.56,0.37
Llano County, Texas,21243,19569,77,48,299,58941,5147,92.12,0.36
Lubbock County, Texas,310639,267331,1256,48,303,53425,1645,86.06,0.4
McCulloch County, Texas,7630,6561,29,48,307,48618,6267,85.99,0.38
McLennan County, Texas,260579,229896,1047,48,309,50210,1375,88.23,0.4
Madison County, Texas,13455,12513,30,48,313,60499,3586,93,0.22
Marion County, Texas,9725,9102,37,48,315,39093,2479,93.59,0.38
Mason County, Texas,3953,3503,13,48,319,61434,7163,88.62,0.33
Matagorda County, Texas,36255,30626,194,48,321,48733,4020,84.47,0.54
Medina County, Texas,50748,39999,248,48,325,62701,4554,78.82,0.49
Menard County, Texas,1962,1740,5,48,327,43826,10753,88.69,0.25
Milam County, Texas,24754,22158,86,48,331,48253,2734,89.51,0.35
Mills County, Texas,4456,3991,13,48,333,50198,5448,89.56,0.29
Montague County, Texas,19965,18141,42,48,337,57511,5594,90.86,0.21
Montgomery County, Texas,620443,535925,3049,48,339,83274,2007,86.38,0.49
Morris County, Texas,11973,11112,21,48,343,43995,2832,92.81,0.18
Motley County, Texas,1063,986,13,48,345,45417,10956,92.76,1.22
Navarro County, Texas,52624,45572,200,48,349,47574,3390,86.6,0.38
Newton County, Texas,12217,11656,28,48,351,40690,8364,95.41,0.23
Nueces County, Texas,353178,261534,1805,48,355,56784,1681,74.05,0.51
Ochiltree County, Texas,10015,8254,39,48,357,53431,6420,82.42,0.39
Orange County, Texas,84808,79407,186,48,361,63488,3924,93.63,0.22
Palo Pinto County, Texas,28409,25842,86,48,363,55986,2625,90.96,0.3
Parker County, Texas,148222,133872,558,48,367,84189,2760,90.32,0.38
Parmer County, Texas,9869,8193,20,48,369,58558,8744,83.02,0.2
Polk County, Texas,50123,46457,108,48,373,50351,2402,92.69,0.22
Potter County, Texas,118525,98979,489,48,375,43652,1525,83.51,0.41
Rains County, Texas,12164,11346,25,48,379,52612,4311,93.28,0.21
Randall County, Texas,140753,123378,504,48,381,68186,3129,87.66,0.36
Real County, Texas,2758,2432,16,48,385,38659,6036,88.18,0.58
Red River County, Texas,11587,11014,36,48,387,37135,2291,95.05,0.31
Refugio County, Texas,6741,5413,41,48,391,51054,3948,80.3,0.61
Roberts County, Texas,827,755,7,48,393,61964,7674,91.29,0.85
Rockwall County, Texas,107819,94391,503,48,397,105956,2856,87.55,0.47
Runnels County, Texas,9900,8698,37,48,399,48489,2745,87.86,0.37
Sabine County, Texas,9894,9413,27,48,403,38917,4486,95.14,0.27
San Augustine County, Texas,7918,7526,40,48,405,41568,5013,95.05,0.51
San Patricio County, Texas,68755,52670,313,48,409,56111,3589,76.61,0.46
San Saba County, Texas,5730,5195,26,48,411,45169,9449,90.66,0.45
Scurry County, Texas,16932,14567,53,48,415,50277,6419,86.03,0.31
Shackelford County, Texas,3105,2910,17,48,417,48212,6010,93.72,0.55
Sherman County, Texas,2782,2188,24,48,421,57130,6433,78.65,0.86
Smith County, Texas,233479,211043,695,48,423,59450,2471,90.39,0.3
Lavaca County, Texas,20337,18421,72,48,285,54211,2568,90.58,0.35
Somervell County, Texas,9205,8088,40,48,425,64394,13550,87.87,0.43
Starr County, Texas,65920,34893,81,48,427,30931,2851,52.93,0.12
Stephens County, Texas,9101,8280,45,48,429,44940,3174,90.98,0.49
Sterling County, Texas,1372,1196,6,48,431,53194,8296,87.17,0.44
Stonewall County, Texas,1245,1133,8,48,433,58309,16881,91,0.64
Sutton County, Texas,3372,2514,8,48,435,61190,15158,74.56,0.24
Swisher County, Texas,6971,5834,21,48,437,36337,4873,83.69,0.3
Tarrant County, Texas,2110640,1814445,11874,48,439,70306,677,85.97,0.56
Taylor County, Texas,143208,126033,796,48,441,55568,2086,88.01,0.56
Terrell County, Texas,760,646,6,48,443,42823,7834,85,0.79
Terry County, Texas,11831,9250,31,48,445,44052,3841,78.18,0.26
Throckmorton County, Texas,1440,1336,18,48,447,41875,10953,92.78,1.25
Titus County, Texas,31247,26265,87,48,449,53406,3315,84.06,0.28
Tom Green County, Texas,120003,98664,662,48,451,57670,3457,82.22,0.55
Travis County, Texas,1290188,1079633,8719,48,453,80668,972,83.68,0.68
Trinity County, Texas,13602,12576,66,48,455,44052,3526,92.46,0.49
Tyler County, Texas,19798,18841,35,48,457,47865,5481,95.17,0.18
Upshur County, Texas,40892,37542,137,48,459,54330,3580,91.81,0.34
Upton County, Texas,3308,2321,20,48,461,59008,4807,70.16,0.6
Uvalde County, Texas,24564,17058,74,48,463,45936,5135,69.44,0.3
Van Zandt County, Texas,59541,54766,169,48,467,57203,3567,91.98,0.28
Victoria County, Texas,91319,72846,371,48,469,58959,2721,79.77,0.41
Waller County, Texas,56794,49474,207,48,473,61752,3091,87.11,0.36
Ward County, Texas,11644,9342,55,48,475,61915,12619,80.23,0.47
Webb County, Texas,267114,159681,557,48,479,50296,1580,59.78,0.21
Wharton County, Texas,41570,35188,119,48,481,51770,4080,84.65,0.29
Wichita County, Texas,129350,115415,742,48,485,49710,2191,89.23,0.57
Wilbarger County, Texas,12887,11537,68,48,487,45121,3941,89.52,0.53
Williamson County, Texas,609017,517900,4338,48,491,90834,1573,85.04,0.71
Wilson County, Texas,49753,40399,265,48,493,80082,4369,81.2,0.53
Wise County, Texas,68632,61062,234,48,497,67726,3943,88.97,0.34
Wood County, Texas,44843,41316,100,48,499,56749,3374,92.13,0.22
Young County, Texas,17867,16366,40,48,503,52158,7319,91.6,0.22
Zapata County, Texas,13889,7570,34,48,505,32945,4100,54.5,0.24
Andrews County, Texas,18610,14756,74,48,3,75147,9031,79.29,0.4
Archer County, Texas,8560,8011,21,48,9,63958,5369,93.59,0.25
Austin County, Texas,30167,26193,63,48,15,64468,4347,86.83,0.21
Bastrop County, Texas,97216,80549,498,48,21,71820,4451,82.86,0.51
Bell County, Texas,370647,317284,3832,48,27,54987,1589,85.6,1.03
