County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Gilmer County, Georgia,31353,29566,45,13,123,57376,5184,94.3,0.14
Glynn County, Georgia,84499,79673,254,13,127,56952,2695,94.29,0.3
Gordon County, Georgia,57544,52960,170,13,129,48662,2477,92.03,0.3
Greene County, Georgia,18915,18026,22,13,133,57880,4126,95.3,0.12
Gwinnett County, Georgia,957062,854481,5408,13,135,72787,1157,89.28,0.57
Hall County, Georgia,203136,180847,624,13,139,63651,1909,89.03,0.31
Haralson County, Georgia,29919,28749,48,13,143,52021,4869,96.09,0.16
Harris County, Georgia,34668,32607,108,13,145,79860,6101,94.06,0.31
Hart County, Georgia,25828,24648,52,13,147,45874,5630,95.43,0.2
Heard County, Georgia,11412,10810,38,13,149,50583,5983,94.72,0.33
Henry County, Georgia,240712,225110,1073,13,151,71110,1677,93.52,0.45
Houston County, Georgia,163633,151769,768,13,153,65870,2662,92.75,0.47
Irwin County, Georgia,9666,9358,21,13,155,41484,7127,96.81,0.22
Jackson County, Georgia,75907,70893,158,13,157,68307,3418,93.39,0.21
Jasper County, Georgia,14588,13819,26,13,159,52409,5941,94.73,0.18
Jeff Davis County, Georgia,14779,14058,31,13,161,36987,4074,95.12,0.21
Jefferson County, Georgia,15709,15299,45,13,163,37009,3522,97.39,0.29
Jenkins County, Georgia,8674,8462,15,13,165,25712,3704,97.56,0.17
Johnson County, Georgia,9189,8967,12,13,167,42421,5590,97.58,0.13
Jones County, Georgia,28347,27363,51,13,169,63046,8632,96.53,0.18
Lamar County, Georgia,18500,17726,45,13,171,50088,5160,95.82,0.24
Lanier County, Georgia,9877,9300,29,13,173,32158,4962,94.16,0.29
Laurens County, Georgia,49570,47904,58,13,175,39476,2229,96.64,0.12
Lee County, Georgia,33163,31675,76,13,177,68338,5602,95.51,0.23
Liberty County, Georgia,65256,58897,551,13,179,50411,2468,90.26,0.84
Lincoln County, Georgia,7690,7426,48,13,181,42036,4398,96.57,0.62
Long County, Georgia,16168,14634,126,13,183,52099,7071,90.51,0.78
Lumpkin County, Georgia,33488,31335,60,13,187,52872,7175,93.57,0.18
McIntosh County, Georgia,10975,10488,18,13,191,56262,9148,95.56,0.16
Macon County, Georgia,12082,11835,20,13,193,31910,4152,97.96,0.17
Marion County, Georgia,7498,7143,24,13,197,52450,5575,95.27,0.32
Meriwether County, Georgia,20613,19880,31,13,199,40769,4552,96.44,0.15
Mitchell County, Georgia,21755,21159,23,13,205,39404,6586,97.26,0.11
Montgomery County, Georgia,8610,8312,12,13,209,45230,9019,96.54,0.14
Morgan County, Georgia,20097,19284,47,13,211,68669,5868,95.95,0.23
Muscogee County, Georgia,206922,192287,1107,13,215,47418,1891,92.93,0.53
Newton County, Georgia,112483,106030,398,13,217,59178,3820,94.26,0.35
Oglethorpe County, Georgia,14825,13933,51,13,221,52816,3920,93.98,0.34
Paulding County, Georgia,168661,156335,642,13,223,74154,2532,92.69,0.38
Pickens County, Georgia,33216,31519,28,13,227,68365,2426,94.89,0.08
Pike County, Georgia,18889,18136,28,13,231,68138,5435,96.01,0.15
Polk County, Georgia,42853,40407,90,13,233,46846,4848,94.29,0.21
Putnam County, Georgia,22047,20902,54,13,237,52910,3276,94.81,0.24
Quitman County, Georgia,2235,2143,8,13,239,34394,9864,95.88,0.36
Randolph County, Georgia,6425,6259,33,13,243,29400,4309,97.42,0.51
Rockdale County, Georgia,93570,87365,348,13,247,62505,2838,93.37,0.37
Schley County, Georgia,4547,4379,16,13,249,49105,4674,96.31,0.35
Seminole County, Georgia,9147,8853,16,13,253,35286,3434,96.79,0.17
Spalding County, Georgia,67306,63766,148,13,255,48970,2882,94.74,0.22
Stewart County, Georgia,5314,5179,10,13,259,34028,5555,97.46,0.19
Sumter County, Georgia,29616,28707,63,13,261,37174,3781,96.93,0.21
Taliaferro County, Georgia,1559,1477,11,13,265,37717,5667,94.74,0.71
Taylor County, Georgia,7816,7597,19,13,269,28550,5277,97.2,0.24
Telfair County, Georgia,12477,12175,8,13,271,32764,5610,97.58,0.06
Thomas County, Georgia,45798,44064,63,13,275,47133,4452,96.21,0.14
Towns County, Georgia,12493,12023,20,13,281,51257,2959,96.24,0.16
Treutlen County, Georgia,6406,6224,14,13,283,32072,8725,97.16,0.22
Turner County, Georgia,9006,8711,22,13,287,34514,5280,96.72,0.24
Union County, Georgia,24632,23437,44,13,291,49703,4110,95.15,0.18
Upson County, Georgia,27700,26648,42,13,293,39221,3569,96.2,0.15
Walton County, Georgia,96673,91248,199,13,297,65491,2650,94.39,0.21
Ware County, Georgia,36251,34707,62,13,299,37041,3827,95.74,0.17
Washington County, Georgia,19988,19487,42,13,303,36402,2766,97.49,0.21
Webster County, Georgia,2348,2249,19,13,307,31629,10518,95.78,0.81
Wheeler County, Georgia,7471,7303,11,13,309,28864,11145,97.75,0.15
Whitfield County, Georgia,102864,90662,331,13,313,50055,2738,88.14,0.32
Wilcox County, Georgia,8766,8542,27,13,315,39216,4188,97.44,0.31
Wilkinson County, Georgia,8877,8520,19,13,319,36896,5761,95.98,0.21
Tift County, Georgia,41344,38926,86,13,277,44827,2949,94.15,0.21
Baldwin County, Georgia,43799,42439,79,13,9,46250,4707,96.89,0.18
Bartow County, Georgia,108901,100984,337,13,15,61226,2631,92.73,0.31
Berrien County, Georgia,18160,17204,40,13,19,42089,3198,94.74,0.22
Brantley County, Georgia,18021,17226,17,13,25,34679,8538,95.59,0.09
